aX,aY,aZ,gX,gY,gZ
-0.166,0.138,0.915,-4.028,11.902,24.109
-0.158,0.127,0.922,-4.944,18.433,32.471
-0.144,0.122,0.943,-7.080,23.010,34.912
-0.140,0.134,0.960,-11.292,21.851,34.058
-0.143,0.150,0.974,-16.235,22.522,29.663
-0.154,0.180,0.959,-20.935,23.437,25.452
-0.171,0.176,0.966,-16.052,25.513,21.118
-0.206,0.161,0.960,-9.888,17.029,10.559
-0.238,0.109,0.955,-9.583,14.160,6.287
-0.259,0.076,0.958,-9.583,13.672,4.211
-0.249,0.050,0.939,-10.132,14.893,8.301
-0.232,0.032,1.002,-7.080,16.174,12.695
-0.232,0.011,1.042,-3.296,15.015,14.832
-0.240,0.039,1.080,-1.709,13.733,16.418
-0.237,0.062,1.034,-5.249,15.198,15.564
-0.221,0.102,0.970,-6.226,16.052,12.573
-0.208,0.120,0.938,0.061,9.949,12.939
-0.224,0.123,0.973,12.451,0.793,18.921
-0.233,0.067,0.987,22.034,-3.174,26.184
-0.226,0.016,0.957,20.264,-4.150,24.292
-0.238,-0.020,0.951,14.343,-1.831,20.386
-0.246,-0.042,0.955,6.287,0.488,15.869
-0.248,-0.021,1.002,1.953,1.343,15.381
-0.236,-0.002,1.005,1.404,0.793,20.142
-0.202,0.031,0.977,1.404,2.441,18.921
-0.185,0.072,0.965,1.709,5.676,12.817
-0.182,0.086,0.969,-0.244,2.197,7.996
-0.196,0.062,0.960,-2.808,1.038,8.362
-0.172,0.061,0.921,-1.038,0.488,11.108
-0.228,0.058,0.959,4.028,-3.662,15.198
-0.349,0.105,1.066,4.639,-0.732,14.160
-0.159,0.002,0.907,-9.583,21.057,-23.743
-0.167,0.020,0.921,-5.493,29.724,6.226

-0.447,-0.051,3.052,26.978,-88.257,-47.913
-0.512,-0.130,3.226,19.958,-79.102,-50.110
-0.557,-0.246,3.375,17.761,-62.073,-44.128
-0.533,-0.311,3.320,28.687,-41.199,-32.898
-0.505,-0.369,3.168,48.035,-13.855,-21.484
-0.452,-0.396,2.929,66.650,16.541,-11.169
-0.413,-0.430,2.598,76.355,42.053,-1.038
-0.362,-0.385,2.218,81.177,61.035,-0.427
-0.275,-0.334,1.817,88.684,74.524,3.967
-0.212,-0.212,1.422,86.853,83.008,-1.770
-0.099,-0.018,0.937,94.788,88.440,-4.089
0.098,0.267,0.462,124.817,77.148,-3.906
0.027,0.113,0.166,185.120,48.462,8.972
0.050,-0.079,-0.041,229.370,18.738,-3.174
0.004,-0.278,-0.153,239.441,-1.770,-10.437
-0.021,-0.442,-0.279,208.130,-10.193,-11.108
0.024,-0.433,-0.420,142.334,-14.526,-2.563
0.022,-0.485,-0.448,71.533,-11.475,5.981
0.021,-0.315,-0.287,21.729,-7.263,-14.404
0.096,-0.067,-0.262,5.066,-5.676,-19.470
0.143,-0.002,-0.342,6.165,-3.540,-11.902
0.173,0.019,-0.408,21.545,-4.944,-22.217
0.185,-0.016,-0.409,37.842,-10.010,-29.419
0.161,-0.045,-0.314,49.561,-16.418,-34.241
0.134,-0.078,-0.225,50.781,-16.479,-32.227
0.101,-0.078,-0.154,42.053,-10.803,-26.855
0.074,-0.067,-0.122,27.710,-3.113,-20.264
0.069,-0.024,-0.051,11.353,4.456,-16.418
0.061,0.034,0.037,-1.526,3.906,-9.338
0.079,0.106,0.130,-6.958,2.747,-2.441
0.085,0.149,0.212,-10.559,1.648,5.005
0.073,0.139,0.294,-5.920,2.808,11.169
0.065,0.139,0.323,-4.395,0.916,9.277
0.049,0.184,0.388,-9.888,0.427,6.775
0.015,0.232,0.459,-16.174,-0.366,6.958
-0.062,0.214,0.476,-22.705,-4.028,4.761
-0.134,0.198,0.470,-31.921,-10.620,-3.784
-0.250,0.143,0.470,-36.255,-18.127,-8.850
-0.219,0.170,0.520,-34.424,-23.560,-5.127
-0.258,0.126,0.587,-28.687,-30.273,1.892
-0.259,0.104,0.691,-32.654,-27.832,7.507
-0.222,0.124,0.797,-42.114,-26.306,7.080
-0.166,0.176,0.883,-45.105,-24.658,4.883
-0.164,0.152,0.982,-45.105,-19.287,6.165
-0.159,0.149,1.052,-47.180,-13.733,7.202
-0.151,0.135,1.030,-44.312,-14.954,10.498
-0.159,0.128,0.996,-36.987,-14.526,10.681
-0.156,0.106,0.979,-31.189,-10.010,11.536
-0.156,0.070,0.972,-26.184,-8.301,13.062
-0.170,0.012,0.962,-21.484,-4.761,15.137
-0.193,-0.042,0.979,-22.644,0.977,17.700
-0.193,-0.046,0.993,-25.818,2.747,17.151
-0.172,-0.025,0.999,-24.109,0.122,18.372
-0.148,-0.013,0.990,-18.982,-3.235,19.104
-0.138,-0.008,0.997,-12.329,-7.812,20.081
-0.144,-0.012,0.993,-14.282,-10.559,20.813
-0.141,0.021,0.940,-21.545,-12.451,19.775
-0.135,0.084,0.918,-26.367,-13.794,16.907
-0.139,0.118,0.918,-28.687,-14.893,16.418
-0.123,0.153,0.913,-30.518,-16.968,17.700
-0.108,0.179,0.911,-35.461,-15.503,18.188
-0.108,0.157,0.928,-40.955,-9.216,20.081
-0.109,0.112,0.967,-46.570,-4.883,20.203
-0.130,0.109,1.031,-43.579,-5.493,20.020
-0.106,0.099,1.037,-37.415,-4.822,19.043
-0.114,0.095,1.045,-28.259,-7.690,21.973
-0.116,0.100,1.015,-25.940,-7.751,20.996
-0.125,0.111,1.013,-25.391,-3.967,16.846
-0.113,0.131,1.004,-23.804,-5.188,11.108
-0.104,0.150,1.037,-17.029,-9.460,5.798
-0.111,0.123,1.087,-13.245,-11.597,6.165
-0.119,0.066,1.119,-13.611,-8.484,7.324
-0.118,0.047,1.128,-19.287,-4.639,8.362
-0.114,0.041,1.118,-26.794,-0.244,9.338
-0.112,0.049,1.108,-31.128,1.770,9.338
-0.107,0.078,1.079,-32.043,0.183,7.874
-0.102,0.099,1.043,-27.344,-2.258,8.118
-0.106,0.090,1.003,-21.301,-3.235,8.606
-0.115,0.060,0.987,-18.372,-3.113,9.033
-0.120,0.035,0.985,-16.235,-2.380,8.362
