aX,aY,aZ,gX,gY,gZ
-1.274,-0.251,1.171,-35.950,11.292,-104.309
-1.211,-0.210,1.249,-20.813,19.104,-98.206
-1.152,-0.212,1.237,-6.409,25.208,-93.567
-1.100,-0.257,1.148,6.531,30.151,-88.562
-1.040,-0.302,1.034,21.179,35.400,-78.491
-0.958,-0.317,0.917,29.602,40.771,-68.848
-0.891,-0.312,0.834,30.273,45.654,-60.181
-0.799,-0.307,0.752,23.193,53.284,-52.185
-0.687,-0.236,0.706,14.282,58.228,-49.316
-0.592,-0.164,0.669,3.540,59.082,-45.410
-0.535,-0.137,0.657,-4.456,53.894,-35.828
-0.468,-0.118,0.640,-7.446,43.396,-26.611
-0.420,-0.083,0.661,-6.897,33.447,-16.968
-0.373,-0.061,0.683,-4.822,28.625,-6.653
-0.353,-0.040,0.736,-4.028,20.569,0.793
-0.342,-0.011,0.803,-6.409,15.869,5.981
-0.315,0.018,0.850,-11.658,14.709,7.507
-0.299,0.039,0.898,-10.132,14.893,9.216
-0.299,0.035,0.924,-6.042,15.381,10.132
-0.319,-0.007,0.936,-4.578,17.273,9.827
-0.323,-0.054,0.910,-4.883,20.203,10.742
-0.325,-0.094,0.893,-5.676,24.109,13.489
-0.329,-0.128,0.869,-4.700,23.743,18.005
-0.339,-0.148,0.847,-4.639,21.118,22.583
-0.355,-0.166,0.843,-5.249,19.226,28.809
-0.375,-0.199,0.851,-5.676,20.020,38.208
-0.368,-0.220,0.860,-7.080,21.362,46.021
-0.364,-0.217,0.896,-7.874,19.653,48.889
-0.365,-0.211,0.942,-6.958,17.517,51.758
-0.369,-0.219,0.977,-7.874,17.151,51.331
-0.375,-0.232,0.995,-5.066,18.555,49.927
-0.381,-0.238,1.006,3.113,17.273,49.927
-0.382,-0.240,0.984,10.681,13.794,49.988
-0.391,-0.250,0.956,11.963,12.268,48.584
-0.401,-0.244,0.946,8.057,9.888,46.387
-0.405,-0.240,0.925,3.357,9.521,47.729
-0.401,-0.230,0.907,1.099,9.521,52.246
-0.404,-0.222,0.883,0.854,7.263,54.138
-0.383,-0.200,0.843,0.916,5.798,55.054
-0.349,-0.175,0.795,0.977,3.601,56.824
-0.334,-0.145,0.792,1.892,-1.038,58.350
-0.325,-0.109,0.814,2.502,-3.662,57.922
-0.304,-0.082,0.840,1.465,-4.517,57.190
-0.305,-0.054,0.882,3.723,-5.737,58.044
-0.312,-0.052,0.935,9.399,-6.592,62.195
-0.299,-0.047,0.961,14.038,-6.470,63.721
-0.280,-0.052,0.955,16.418,-9.583,62.805
-0.274,-0.051,0.939,13.062,-16.052,58.838
-0.283,-0.065,0.911,6.165,-15.076,56.152
-0.276,-0.100,0.875,0.671,-6.958,58.044
-0.274,-0.132,0.860,-1.648,-0.427,63.416
-0.259,-0.145,0.833,-5.310,0.977,67.505
-0.242,-0.140,0.819,-10.071,2.686,69.336
-0.242,-0.145,0.819,-11.658,1.404,71.533
-0.232,-0.137,0.842,-10.742,1.770,73.669
-0.220,-0.130,0.853,-15.991,3.052,72.693
-0.187,-0.116,0.841,-19.958,0.549,70.923
-0.165,-0.096,0.869,-18.127,-2.808,68.298
-0.153,-0.089,0.903,-14.771,-6.653,65.125
-0.151,-0.090,0.931,-10.742,-8.850,61.401
-0.166,-0.112,0.947,-7.507,-8.423,58.777
-0.167,-0.136,0.950,-5.798,-7.324,56.885
-0.166,-0.157,0.937,-6.348,-5.188,54.443
-0.159,-0.137,0.936,-9.521,-5.005,49.561
-0.148,-0.145,0.901,-13.123,-1.038,49.011
-0.133,-0.131,0.869,-17.883,-0.732,44.617
-0.102,-0.109,0.828,-21.362,-2.136,43.884
-0.121,-0.103,0.863,-20.081,-1.099,45.288
-0.100,-0.085,0.835,-15.198,-13.550,47.668
